date,equity
1980-12-12,10000.0
1980-12-15,10000.0
1980-12-16,10000.0
1980-12-17,10000.0
1980-12-18,10000.0
1980-12-19,10000.0
1980-12-22,10000.0
1980-12-23,10000.0
1980-12-24,10000.0
1980-12-26,10000.0
1980-12-29,10000.0
1980-12-30,10000.0
1980-12-31,10000.0
1981-01-02,10000.0
1981-01-05,10000.0
1981-01-06,10000.0
1981-01-07,10000.0
1981-01-08,10000.0
1981-01-09,10000.0
1981-01-12,10000.0
1981-01-13,10000.0
1981-01-14,10000.0
1981-01-15,10000.0
1981-01-16,10000.0
1981-01-19,10000.0
1981-01-20,10000.0
1981-01-21,10000.0
1981-01-22,10000.0
1981-01-23,10000.0
1981-01-26,10000.0
1981-01-27,10000.0
1981-01-28,10000.0
1981-01-29,10000.0
1981-01-30,10000.0
1981-02-02,10000.0
1981-02-03,10000.0
1981-02-04,10000.0
1981-02-05,10000.0
1981-02-06,10000.0
1981-02-09,10000.0
1981-02-10,10000.0
1981-02-11,10000.0
1981-02-12,10000.0
1981-02-13,10000.0
1981-02-17,10000.0
1981-02-18,10000.0
1981-02-19,10000.0
1981-02-20,10000.0
1981-02-23,10000.0
1981-02-24,10000.0
1981-02-25,10000.0
1981-02-26,10000.0
1981-02-27,10000.0
1981-03-02,10000.0
1981-03-03,10000.0
1981-03-04,10000.0
1981-03-05,10000.0
1981-03-06,10000.0
1981-03-09,10000.0
1981-03-10,10000.0
1981-03-11,10000.0
1981-03-12,10000.0
1981-03-13,10000.0
1981-03-16,10000.0
1981-03-17,10000.0
1981-03-18,10000.0
1981-03-19,10000.0
1981-03-20,10000.0
1981-03-23,10000.0
1981-03-24,10000.0
1981-03-25,10000.0
1981-03-26,10000.0
1981-03-27,10000.0
1981-03-30,10000.0
1981-03-31,10000.0
1981-04-01,10000.0
1981-04-02,10000.0
1981-04-03,10000.0
1981-04-06,10000.0
1981-04-07,10000.0
1981-04-08,10000.0
1981-04-09,10000.0
1981-04-10,10000.0
1981-04-13,10000.0
1981-04-14,10000.0
1981-04-15,10000.0
1981-04-16,10000.0
1981-04-20,10000.0
1981-04-21,10000.0
1981-04-22,10000.0
1981-04-23,10000.0
1981-04-24,10000.0
1981-04-27,10000.0
1981-04-28,10000.0
1981-04-29,10000.0
1981-04-30,10000.0
1981-05-01,10000.0
1981-05-04,10000.0
1981-05-05,10000.0
1981-05-06,10000.0
1981-05-07,10000.0
1981-05-08,10000.0
1981-05-11,10000.0
1981-05-12,10000.0
1981-05-13,10000.0
1981-05-14,10000.0
1981-05-15,10000.0
1981-05-18,10000.0
1981-05-19,10000.0
1981-05-20,10000.0
1981-05-21,10000.0
1981-05-22,10000.0
1981-05-26,10000.0
1981-05-27,10000.0
1981-05-28,10000.0
1981-05-29,10000.0
1981-06-01,10000.0
1981-06-02,10000.0
1981-06-03,10000.0
1981-06-04,10000.0
1981-06-05,10000.0
1981-06-08,10000.0
1981-06-09,10000.0
1981-06-10,10000.0
1981-06-11,10000.0
1981-06-12,10000.0
1981-06-15,10000.0
1981-06-16,10000.0
1981-06-17,10000.0
1981-06-18,10000.0
1981-06-19,10000.0
1981-06-22,10000.0
1981-06-23,10000.0
1981-06-24,10000.0
1981-06-25,10000.0
1981-06-26,10000.0
1981-06-29,10000.0
1981-06-30,10000.0
1981-07-01,10000.0
1981-07-02,10000.0
1981-07-06,10000.0
1981-07-07,10000.0
1981-07-08,10000.0
1981-07-09,10000.0
1981-07-10,10000.0
1981-07-13,10000.0
1981-07-14,10000.0
1981-07-15,10000.0
1981-07-16,10000.0
1981-07-17,10000.0
1981-07-20,10000.0
1981-07-21,10000.0
1981-07-22,10000.0
1981-07-23,10000.0
1981-07-24,10000.0
1981-07-27,10000.0
1981-07-28,10000.0
1981-07-29,10000.0
1981-07-30,10000.0
1981-07-31,10000.0
1981-08-03,10000.0
1981-08-04,10000.0
1981-08-05,10000.0
1981-08-06,10000.0
1981-08-07,10000.0
1981-08-10,10000.0
1981-08-11,10000.0
1981-08-12,10000.0
1981-08-13,10000.0
1981-08-14,10000.0
1981-08-17,10000.0
1981-08-18,10000.0
1981-08-19,10000.0
1981-08-20,10000.0
1981-08-21,10000.0
1981-08-24,10000.0
1981-08-25,10000.0
1981-08-26,10000.0
1981-08-27,10000.0
1981-08-28,10000.0
1981-08-31,10000.0
1981-09-01,10000.0
1981-09-02,10000.0
1981-09-03,10000.0
1981-09-04,10000.0
1981-09-08,10000.0
1981-09-09,10000.0
1981-09-10,10000.0
1981-09-11,10000.0
1981-09-14,10000.0
1981-09-15,10000.0
1981-09-16,10000.0
1981-09-17,10000.0
1981-09-18,10000.0
1981-09-21,10000.0
1981-09-22,10000.0
1981-09-23,10000.0
1981-09-24,10000.0
1981-09-25,10000.0
1981-09-28,10000.0
1981-09-29,10000.0
1981-09-30,10000.0
1981-10-01,10000.0
1981-10-02,10000.0
1981-10-05,10000.0
1981-10-06,10000.0
1981-10-07,10000.0
1981-10-08,10000.0
1981-10-09,10000.0
1981-10-12,10000.0
1981-10-13,10000.0
1981-10-14,10000.0
1981-10-15,10000.0
1981-10-16,10000.0
1981-10-19,10000.0
1981-10-20,10000.0
1981-10-21,10000.0
1981-10-22,10000.0
1981-10-23,10000.0
1981-10-26,10000.0
1981-10-27,10000.0
1981-10-28,10000.0
1981-10-29,10000.0
1981-10-30,10000.0
1981-11-02,10000.0
1981-11-03,10000.0
1981-11-04,10000.0
1981-11-05,10000.0
1981-11-06,10000.0
1981-11-09,10000.0
1981-11-10,10000.0
1981-11-11,10000.0
1981-11-12,10000.0
1981-11-13,10000.0
1981-11-16,10000.0
1981-11-17,10000.0
1981-11-18,10000.0
1981-11-19,10000.0
1981-11-20,10000.0
1981-11-23,10000.0
1981-11-24,10000.0
1981-11-25,10000.0
1981-11-27,10000.0
1981-11-30,10000.0
1981-12-01,10000.0
1981-12-02,10000.0
1981-12-03,10000.0
1981-12-04,10000.0
1981-12-07,10000.0
1981-12-08,10000.0
1981-12-09,10000.0
1981-12-10,10000.0
1981-12-11,10000.0
1981-12-14,10000.0
1981-12-15,10000.0
1981-12-16,10000.0
1981-12-17,10000.0
1981-12-18,10000.0
1981-12-21,10000.0
1981-12-22,10000.0
1981-12-23,10000.0
1981-12-24,10000.0
1981-12-28,10000.0
1981-12-29,10000.0
1981-12-30,10000.0
1981-12-31,10000.0
1982-01-04,10000.0
1982-01-05,10000.0
1982-01-06,10000.0
1982-01-07,10000.0
1982-01-08,10000.0
1982-01-11,10000.0
1982-01-12,10000.0
1982-01-13,10000.0
1982-01-14,10000.0
1982-01-15,10000.0
1982-01-18,10000.0
1982-01-19,10000.0
1982-01-20,10000.0
1982-01-21,10000.0
1982-01-22,10000.0
1982-01-25,10000.0
1982-01-26,10000.0
1982-01-27,10000.0
1982-01-28,10000.0
1982-01-29,10000.0
1982-02-01,10000.0
1982-02-02,10000.0
1982-02-03,10000.0
1982-02-04,10000.0
1982-02-05,10000.0
1982-02-08,10000.0
1982-02-09,10000.0
1982-02-10,10000.0
1982-02-11,10000.0
1982-02-12,10000.0
1982-02-16,10000.0
1982-02-17,10000.0
1982-02-18,10000.0
1982-02-19,10000.0
1982-02-22,10000.0
1982-02-23,10000.0
1982-02-24,10000.0
1982-02-25,10000.0
1982-02-26,10000.0
1982-03-01,10000.0
1982-03-02,10000.0
1982-03-03,10000.0
1982-03-04,10000.0
1982-03-05,10000.0
1982-03-08,10000.0
1982-03-09,10000.0
1982-03-10,10000.0
1982-03-11,10000.0
1982-03-12,10000.0
1982-03-15,10000.0
1982-03-16,10000.0
1982-03-17,10000.0
1982-03-18,10000.0
1982-03-19,10000.0
1982-03-22,10000.0
1982-03-23,10000.0
1982-03-24,10000.0
1982-03-25,10000.0
1982-03-26,10000.0
1982-03-29,10000.0
1982-03-30,10000.0
1982-03-31,10000.0
1982-04-01,10000.0
1982-04-02,10000.0
1982-04-05,10000.0
1982-04-06,10000.0
1982-04-07,10000.0
1982-04-08,10000.0
1982-04-12,10000.0
1982-04-13,10000.0
1982-04-14,10000.0
1982-04-15,10000.0
1982-04-16,10000.0
1982-04-19,10000.0
1982-04-20,10000.0
1982-04-21,10000.0
1982-04-22,10000.0
1982-04-23,10000.0
1982-04-26,10000.0
1982-04-27,10000.0
1982-04-28,10000.0
1982-04-29,10000.0
1982-04-30,10000.0
1982-05-03,10000.0
1982-05-04,10000.0
1982-05-05,10000.0
1982-05-06,10000.0
1982-05-07,10000.0
1982-05-10,10000.0
1982-05-11,10000.0
1982-05-12,10000.0
1982-05-13,10000.0
1982-05-14,10000.0
1982-05-17,10000.0
1982-05-18,10000.0
1982-05-19,10000.0
1982-05-20,10000.0
1982-05-21,10000.0
1982-05-24,10000.0
1982-05-25,10000.0
1982-05-26,10000.0
1982-05-27,10000.0
1982-05-28,10000.0
1982-06-01,10000.0
1982-06-02,10000.0
1982-06-03,10000.0
1982-06-04,10000.0
1982-06-07,10000.0
1982-06-08,10000.0
1982-06-09,10000.0
1982-06-10,10000.0
1982-06-11,10000.0
1982-06-14,10000.0
1982-06-15,10000.0
1982-06-16,10000.0
1982-06-17,10000.0
1982-06-18,10000.0
1982-06-21,10000.0
1982-06-22,10000.0
1982-06-23,10000.0
1982-06-24,10000.0
1982-06-25,10000.0
1982-06-28,10000.0
1982-06-29,10000.0
1982-06-30,10000.0
1982-07-01,10000.0
1982-07-02,10000.0
1982-07-06,10000.0
1982-07-07,10000.0
1982-07-08,10000.0
1982-07-09,10000.0
1982-07-12,10000.0
1982-07-13,10000.0
1982-07-14,10000.0
1982-07-15,10000.0
1982-07-16,10000.0
1982-07-19,10000.0
1982-07-20,10000.0
1982-07-21,10000.0
1982-07-22,10000.0
1982-07-23,10000.0
1982-07-26,10000.0
1982-07-27,10000.0
1982-07-28,10000.0
1982-07-29,10000.0
1982-07-30,10000.0
1982-08-02,10000.0
1982-08-03,10000.0
1982-08-04,10000.0
1982-08-05,10000.0
1982-08-06,10000.0
1982-08-09,10000.0
1982-08-10,10000.0
1982-08-11,10000.0
1982-08-12,10000.0
1982-08-13,10000.0
1982-08-16,10000.0
1982-08-17,10000.0
1982-08-18,10000.0
1982-08-19,10000.0
1982-08-20,10000.0
1982-08-23,10000.0
1982-08-24,10000.0
1982-08-25,10000.0
1982-08-26,10000.0
1982-08-27,10000.0
1982-08-30,10000.0
1982-08-31,10000.0
1982-09-01,10000.0
1982-09-02,10000.0
1982-09-03,10000.0
1982-09-07,10000.0
1982-09-08,10000.0
1982-09-09,10000.0
1982-09-10,10000.0
1982-09-13,10000.0
1982-09-14,10000.0
1982-09-15,10000.0
1982-09-16,10000.0
1982-09-17,10000.0
1982-09-20,10000.0
1982-09-21,10000.0
1982-09-22,10000.0
1982-09-23,10000.0
1982-09-24,10000.0
1982-09-27,10000.0
1982-09-28,10000.0
1982-09-29,10000.0
1982-09-30,10000.0
1982-10-01,10000.0
1982-10-04,10000.0
1982-10-05,10000.0
1982-10-06,10000.0
1982-10-07,10000.0
1982-10-08,10000.0
1982-10-11,10000.0
1982-10-12,10000.0
1982-10-13,10000.0
1982-10-14,10000.0
1982-10-15,10000.0
1982-10-18,10000.0
1982-10-19,10000.0
1982-10-20,10000.0
1982-10-21,10000.0
1982-10-22,10000.0
1982-10-25,10000.0
1982-10-26,10000.0
1982-10-27,10000.0
1982-10-28,10000.0
1982-10-29,10000.0
1982-11-01,10000.0
1982-11-02,10000.0
1982-11-03,10000.0
1982-11-04,10000.0
1982-11-05,10000.0
1982-11-08,10000.0
1982-11-09,10000.0
1982-11-10,10000.0
1982-11-11,10000.0
1982-11-12,10000.0
1982-11-15,10000.0
1982-11-16,10000.0
1982-11-17,10000.0
1982-11-18,10000.0
1982-11-19,10000.0
1982-11-22,10000.0
1982-11-23,10000.0
1982-11-24,10000.0
1982-11-26,10000.0
1982-11-29,10000.0
1982-11-30,10000.0
1982-12-01,10000.0
1982-12-02,10000.0
1982-12-03,10000.0
1982-12-06,10000.0
1982-12-07,10000.0
1982-12-08,10000.0
1982-12-09,10000.0
1982-12-10,10000.0
1982-12-13,10000.0
1982-12-14,10000.0
1982-12-15,10000.0
1982-12-16,10000.0
1982-12-17,10000.0
1982-12-20,10000.0
1982-12-21,10000.0
1982-12-22,10000.0
1982-12-23,10000.0
1982-12-27,10000.0
1982-12-28,10000.0
1982-12-29,10000.0
1982-12-30,10000.0
1982-12-31,10000.0
1983-01-03,10000.0
1983-01-04,10000.0
1983-01-05,10000.0
1983-01-06,10000.0
1983-01-07,10000.0
1983-01-10,10000.0
1983-01-11,10000.0
1983-01-12,10000.0
1983-01-13,10000.0
1983-01-14,10000.0
1983-01-17,10000.0
1983-01-18,10000.0
